,clones,clones_unique,views,views_unique,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,updated_on
2024-12-29,0.0,0.0,17.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-06
2024-12-30,0.0,0.0,32.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-06
2024-12-31,0.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-13
2025-01-01,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-13
2025-01-02,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-13
2025-01-03,0.0,0.0,7.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-13
2025-01-04,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-13
2025-01-05,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-13
2025-01-06,0.0,0.0,16.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-13
2025-01-07,0.0,0.0,23.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-20
2025-01-08,0.0,0.0,3.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-20
2025-01-09,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-20
2025-01-10,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-20
2025-01-11,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-20
2025-01-12,1.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-20
2025-01-13,0.0,0.0,5.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-20
2025-01-14,0.0,0.0,19.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-27
2025-01-15,0.0,0.0,3.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-27
2025-01-16,0.0,0.0,7.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-27
2025-01-17,0.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-27
2025-01-18,0.0,0.0,2.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-27
2025-01-19,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-27
2025-01-20,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-01-27
2025-01-21,1.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-02-03
2025-01-22,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0,17.0,2025-02-03
